# mesh name: boxMesh_1
# primitive scorer name: trackLength
# iX, iY, iZ, total(value) [mm], total(val^2), entry
0,1,23,9.619524954085325,92.53526034227026,1
0,1,24,0,0,0
0,1,25,4.949059701684195,24.49319193083446,1
0,1,26,1.751635001257168,1.47150403700864,3
0,1,27,5.095540379704045,25.96453176119444,1
0,1,28,12.38118562932388,66.49765706807995,3
0,1,29,3.618669703979521,13.09477042649923,1
0,2,0,6.212896231914564,38.60007958853819,1
0,2,1,4.448867440305393,19.79242150140946,1
0,2,2,7.837146586542185,61.42086661894982,1
0,2,3,7.791829303447748,48.51500215472648,2
0,2,4,1.012531283391044,1.025219599845514,1
0,2,5,9.926543530828035,62.50493258220915,2
0,2,6,10.43838863128919,59.43070066368511,2
0,2,7,7.543584551619972,47.10509103768738,2
0,2,8,2.555578504572283,6.530981493031907,1
0,2,9,0,0,0
0,2,10,8.03822217483903,64.6130157320739,1
0,2,11,15.97486093809221,78.00499539760436,4
0,2,12,6.659553408879007,44.349651605712,1
0,2,13,0.1529031199091201,0.02337936407794275,1
0,2,14,7.719410125641224,59.58929268785226,1
0,2,15,14.12074598056231,76.4840409598893,3
0,2,16,6.364077304367157,25.89398262714056,3
0,2,17,7.925852949412276,49.40171730204625,2
0,2,18,23.1840804339971,182.2267353713607,3
0,2,19,0,0,0
0,2,20,0,0,0
0,2,21,0,0,0
0,2,22,0,0,0
0,2,23,3.874373789996927,15.01077226461515,1
0,2,24,4.554859074338071,15.04468296554926,2
0,2,25,17.61322259516356,106.7484558882599,4
0,2,26,0,0,0
0,2,27,1.06606637205497,1.136497509626446,1
0,2,28,12.15709261428084,52.94338100526321,3
0,2,29,4.746553949525768,22.52977439575866,1
0,3,0,13.55102847231208,73.21643409000848,3
0,3,1,8.312487078263604,40.00005133333117,2
0,3,2,0,0,0
0,3,3,0.06742434317519738,0.004546042052606785,1
0,3,4,3.11993086167061,9.733968581604715,1
0,3,5,7.035901445203828,34.80109453834942,2
0,3,6,9.705121669700263,49.74081271424929,2
0,3,7,4.699513419015752,15.24158815934149,2
0,3,8,0,0,0
0,3,9,0,0,0
0,3,10,0,0,0
0,3,11,25.25694318785737,156.5649555042058,5
0,3,12,0,0,0
0,3,13,8.405364686518704,70.65015551337567,1
0,3,14,0,0,0
0,3,15,10.46897288170389,65.52715090583301,4
0,3,16,8.443162215715072,71.28698820087864,1
0,3,17,1.947920911465828,3.321919805774022,2
0,3,18,11.04128326877342,80.63587094050223,2
0,3,19,6.87752950526667,47.30041209581361,1
0,3,20,0,0,0
0,3,21,0,0,0
0,3,22,9.2065052125383,84.75973822849488,1
0,3,23,10.57184260692947,56.05322062092952,2
0,3,24,27.4354745475665,207.660119461728,4
0,3,25,1.6361376971613,2.676946564072282,1
0,3,26,0,0,0
0,3,27,4.17418897428769,17.42385359306492,1
0,3,28,15.9434794116582,115.9453864398167,3
0,3,29,5.461411666679007,16.47047872166408,2
0,4,0,1.134430547609255,1.286932667349033,1
0,4,1,5.516502812502088,15.31625466509413,2
0,4,2,5.621544102278836,31.60175809386597,1
0,4,3,2.412874168730303,5.821961754125951,1
0,4,4,2.885748257621226,8.327543006363943,1
0,4,5,0,0,0
0,4,6,0,0,0
0,4,7,8.974250734116637,34.59466268071287,3
0,4,8,19.79715628994428,145.0683718790556,3
0,4,9,5.639598959863687,16.33101570114277,3
0,4,10,8.494311087593717,72.15332085281756,1
0,4,11,12.65428578585886,73.63208535402396,3
0,4,12,6.605225349316196,24.33970164203388,2
0,4,13,2.918178197586029,8.515763992866445,1
0,4,14,8.082757143558855,65.33096304175169,1
0,4,15,11.87635680259311,64.8099819927328,4
0,4,16,0,0,0
0,4,17,13.75816209937537,98.36679461152562,2
0,4,18,0.248643677958844,0.04270350440810849,2
